id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION_HOME,FGM_HOME,FG_PCT_HOME,FG3M_HOME,FG3_PCT_HOME,FTM_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,AST_HOME,TOV_HOME,PF_HOME,PTS_HOME,TEAM_ABBREVIATION_AWAY,FGM_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3_PCT_AWAY,FTM_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,AST_AWAY,TOV_AWAY,PF_AWAY,PTS_AWAY,ratio
5743,2011-02-16,22010,BOS,31.0,0.431,2.0,0.182,30.0,0.769,9.0,28.0,18.0,9.0,19.0,94,NJN,31.0,0.38799999999999996,6.0,0.3,12.0,0.8,13.0,29.0,19.0,17.0,27.0,80,0.5944049347557806
5742,2011-02-16,22010,NYK,38.0,0.48100000000000004,9.0,0.391,17.0,0.81,6.0,38.0,25.0,13.0,11.0,102,ATL,37.0,0.44,11.0,0.5,5.0,0.556,6.0,32.0,20.0,12.0,19.0,90,0.5736201125206223
5741,2011-02-15,22010,OKC,45.0,0.5,8.0,0.333,28.0,0.9329999999999999,10.0,38.0,28.0,12.0,23.0,126,SAC,35.0,0.402,2.0,0.182,24.0,0.774,15.0,27.0,18.0,16.0,28.0,96,0.6557661233387418
5740,2011-02-15,22010,MEM,42.0,0.467,6.0,0.429,12.0,0.632,11.0,26.0,20.0,7.0,20.0,102,PHI,33.0,0.44,3.0,0.231,22.0,0.846,13.0,31.0,14.0,17.0,15.0,91,0.5672030168390415
5739,2011-02-15,22010,IND,36.0,0.419,8.0,0.444,23.0,0.7929999999999999,11.0,34.0,19.0,12.0,19.0,103,MIA,43.0,0.489,4.0,0.25,20.0,0.769,10.0,40.0,15.0,13.0,21.0,110,0.46112095269923087
5738,2011-02-15,22010,PHX,36.0,0.493,12.0,0.414,18.0,0.75,3.0,29.0,24.0,19.0,15.0,102,UTA,38.0,0.45799999999999996,6.0,0.429,19.0,0.8640000000000001,9.0,30.0,23.0,18.0,25.0,101,0.5058372204308725
5734,2011-02-14,22010,MIN,30.0,0.39,8.0,0.444,13.0,0.765,13.0,22.0,15.0,18.0,20.0,81,POR,37.0,0.44,8.0,0.444,13.0,0.813,14.0,27.0,23.0,12.0,23.0,95,0.40664706668700734
5736,2011-02-15,22010,GSW,39.0,0.506,10.0,0.526,14.0,0.8240000000000001,10.0,22.0,25.0,14.0,23.0,102,NOH,34.0,0.45299999999999996,3.0,0.3,18.0,0.7829999999999999,13.0,25.0,16.0,16.0,17.0,89,0.5800837909669472
5735,2011-02-14,22010,CHA,42.0,0.512,8.0,0.381,17.0,0.81,11.0,26.0,28.0,8.0,15.0,109,LAL,35.0,0.43799999999999994,3.0,0.158,16.0,0.8,12.0,30.0,24.0,13.0,24.0,89,0.617848530620349
5733,2011-02-14,22010,MIL,35.0,0.515,11.0,0.423,21.0,0.7,7.0,26.0,25.0,11.0,21.0,102,LAC,26.0,0.371,4.0,0.235,22.0,0.815,9.0,25.0,15.0,20.0,24.0,78,0.653800180325273
5732,2011-02-14,22010,DET,27.0,0.386,10.0,0.526,15.0,0.789,10.0,16.0,20.0,11.0,14.0,79,ATL,35.0,0.565,7.0,0.438,17.0,0.895,9.0,30.0,26.0,17.0,16.0,94,0.3984285275428986
5731,2011-02-14,22010,HOU,44.0,0.494,14.0,0.438,19.0,0.8640000000000001,10.0,36.0,31.0,10.0,27.0,121,DEN,32.0,0.41,5.0,0.25,33.0,0.75,13.0,26.0,15.0,12.0,18.0,102,0.5998494907601342
5730,2011-02-14,22010,NJN,31.0,0.348,6.0,0.333,17.0,0.81,13.0,26.0,15.0,9.0,29.0,85,SAS,36.0,0.45,7.0,0.438,23.0,0.742,12.0,38.0,21.0,14.0,20.0,102,0.3936244838553403
5744,2011-02-16,22010,ORL,38.0,0.452,7.0,0.333,18.0,0.857,9.0,38.0,22.0,9.0,19.0,101,WAS,29.0,0.349,3.0,0.231,15.0,0.652,12.0,35.0,8.0,15.0,21.0,76,0.6623977118717269
5737,2011-02-15,22010,CHI,38.0,0.5,7.0,0.5,23.0,0.767,11.0,27.0,25.0,12.0,21.0,106,CHA,33.0,0.478,2.0,0.182,26.0,0.867,6.0,30.0,22.0,16.0,25.0,94,0.5707084076360368
5745,2011-02-16,22010,CLE,40.0,0.47100000000000003,5.0,0.313,19.0,0.8640000000000001,12.0,26.0,28.0,15.0,22.0,104,LAL,37.0,0.425,5.0,0.333,20.0,0.87,19.0,29.0,22.0,19.0,22.0,99,0.5291599691293999
5763,2011-02-22,22010,OKC,37.0,0.474,9.0,0.409,28.0,0.875,7.0,28.0,18.0,7.0,23.0,111,LAC,33.0,0.45799999999999996,5.0,0.455,17.0,0.586,5.0,28.0,20.0,17.0,22.0,88,0.6342048023377655
5747,2011-02-16,22010,DET,50.0,0.515,2.0,0.222,13.0,0.684,17.0,28.0,26.0,9.0,15.0,115,IND,46.0,0.5,7.0,0.389,10.0,0.625,18.0,28.0,25.0,15.0,23.0,109,0.5317060652714425
5762,2011-02-22,22010,WAS,37.0,0.39799999999999996,2.0,0.2,20.0,0.769,10.0,39.0,22.0,20.0,33.0,96,IND,38.0,0.43200000000000005,3.0,0.188,34.0,0.7559999999999999,13.0,38.0,14.0,15.0,22.0,113,0.40458328348457073
5761,2011-02-22,22010,DEN,41.0,0.494,12.0,0.429,26.0,0.722,10.0,26.0,28.0,14.0,25.0,120,MEM,42.0,0.5379999999999999,4.0,0.4,19.0,0.613,12.0,24.0,22.0,21.0,31.0,107,0.567522745065005
5760,2011-02-22,22010,MIL,30.0,0.38,7.0,0.233,27.0,0.871,8.0,38.0,19.0,13.0,26.0,94,MIN,32.0,0.381,4.0,0.222,20.0,0.645,18.0,32.0,18.0,17.0,26.0,88,0.5390007095948717
5759,2011-02-22,22010,DET,41.0,0.441,4.0,0.28600000000000003,14.0,0.9329999999999999,17.0,26.0,19.0,8.0,16.0,100,HOU,37.0,0.435,8.0,0.348,26.0,0.929,16.0,34.0,26.0,11.0,14.0,108,0.45452658418958936
5758,2011-02-22,22010,MIA,51.0,0.5670000000000001,7.0,0.389,8.0,0.727,8.0,35.0,20.0,9.0,19.0,117,SAC,40.0,0.47600000000000003,4.0,0.28600000000000003,13.0,0.65,9.0,25.0,18.0,12.0,14.0,97,0.6092801107390596
