id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION_HOME,FGM_HOME,FG_PCT_HOME,FG3M_HOME,FG3_PCT_HOME,FTM_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,AST_HOME,TOV_HOME,PF_HOME,PTS_HOME,TEAM_ABBREVIATION_AWAY,FGM_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3_PCT_AWAY,FTM_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,AST_AWAY,TOV_AWAY,PF_AWAY,PTS_AWAY,ratio
10479,2015-02-22,22014,MIL,32.0,0.444,4.0,0.25,18.0,1.0,8.0,30.0,19.0,25.0,24.0,86,ATL,35.0,0.402,9.0,0.3,18.0,0.857,16.0,27.0,23.0,20.0,17.0,97,0.42916421945506406
10478,2015-02-22,22014,POR,33.0,0.402,13.0,0.394,13.0,0.813,8.0,38.0,24.0,15.0,15.0,92,MEM,42.0,0.47200000000000003,3.0,0.333,11.0,0.846,8.0,36.0,20.0,7.0,15.0,98,0.46263628343486474
10477,2015-02-22,22014,DET,37.0,0.41600000000000004,13.0,0.406,19.0,0.76,17.0,34.0,22.0,13.0,19.0,106,WAS,37.0,0.435,6.0,0.353,9.0,0.643,11.0,32.0,28.0,12.0,22.0,89,0.6021142857438603
10476,2015-02-22,22014,ORL,39.0,0.47600000000000003,6.0,0.261,19.0,0.731,12.0,26.0,19.0,15.0,21.0,103,PHI,36.0,0.462,13.0,0.382,13.0,0.765,11.0,30.0,21.0,21.0,26.0,98,0.5294495687720351
10475,2015-02-22,22014,NYK,37.0,0.374,3.0,0.158,6.0,0.857,19.0,31.0,16.0,11.0,16.0,83,CLE,40.0,0.506,12.0,0.364,9.0,0.6,7.0,40.0,22.0,15.0,14.0,101,0.3857569036431202
10474,2015-02-22,22014,LAL,43.0,0.512,7.0,0.389,25.0,0.6579999999999999,6.0,40.0,22.0,18.0,27.0,118,BOS,42.0,0.429,8.0,0.242,19.0,0.7040000000000001,13.0,35.0,27.0,18.0,31.0,111,0.5361706997418695
10498,2015-02-25,22014,HOU,36.0,0.409,17.0,0.386,21.0,0.7,12.0,34.0,27.0,10.0,20.0,110,LAC,40.0,0.44,11.0,0.344,14.0,0.737,12.0,37.0,18.0,16.0,22.0,105,0.5275352226504048
10472,2015-02-21,22014,MIA,33.0,0.418,5.0,0.294,20.0,0.741,13.0,32.0,15.0,17.0,23.0,91,NOP,35.0,0.42200000000000004,8.0,0.381,27.0,0.871,11.0,30.0,22.0,13.0,25.0,105,0.41601621007702355
10471,2015-02-21,22014,HOU,35.0,0.41700000000000004,6.0,0.207,22.0,0.71,11.0,41.0,22.0,25.0,23.0,98,TOR,25.0,0.325,4.0,0.222,22.0,0.7859999999999999,7.0,32.0,12.0,25.0,24.0,76,0.6462360388580798
10470,2015-02-21,22014,LAC,46.0,0.484,14.0,0.4,20.0,0.7140000000000001,11.0,43.0,31.0,11.0,29.0,126,SAC,30.0,0.341,4.0,0.25,35.0,0.7609999999999999,14.0,41.0,18.0,17.0,17.0,99,0.6391216923795505
10469,2015-02-21,22014,CHI,43.0,0.483,12.0,0.5,14.0,0.875,14.0,33.0,27.0,17.0,14.0,112,PHX,47.0,0.534,10.0,0.4,3.0,0.375,8.0,28.0,25.0,13.0,15.0,107,0.5270331098614532
10468,2015-02-20,22014,WAS,38.0,0.442,1.0,0.063,12.0,0.75,12.0,31.0,22.0,18.0,23.0,89,CLE,46.0,0.511,14.0,0.424,21.0,0.75,10.0,32.0,28.0,11.0,17.0,127,0.3009758633343945
10467,2015-02-20,22014,MIN,40.0,0.465,4.0,0.267,27.0,0.711,17.0,34.0,24.0,14.0,28.0,111,PHX,40.0,0.449,7.0,0.412,22.0,0.71,17.0,31.0,23.0,13.0,28.0,109,0.5107713573047792
10466,2015-02-20,22014,SAC,40.0,0.48200000000000004,8.0,0.364,21.0,0.8079999999999999,17.0,40.0,26.0,24.0,19.0,109,BOS,40.0,0.4,6.0,0.273,15.0,0.5770000000000001,19.0,21.0,24.0,11.0,23.0,101,0.5450422745173115
10473,2015-02-21,22014,CHA,40.0,0.43,7.0,0.292,16.0,0.8,11.0,30.0,28.0,9.0,18.0,103,OKC,42.0,0.442,5.0,0.278,21.0,0.8079999999999999,19.0,40.0,21.0,14.0,20.0,110,0.46112095269923087
10480,2015-02-22,22014,DAL,36.0,0.462,5.0,0.278,15.0,0.789,6.0,43.0,20.0,15.0,16.0,92,CHA,33.0,0.36700000000000005,6.0,0.316,9.0,0.6920000000000001,13.0,34.0,20.0,15.0,20.0,81,0.5748811216849292
10483,2015-02-23,22014,CHI,27.0,0.355,8.0,0.308,25.0,0.7809999999999999,18.0,44.0,20.0,19.0,16.0,87,MIL,30.0,0.337,4.0,0.222,7.0,0.5379999999999999,12.0,29.0,16.0,10.0,21.0,71,0.6181376426103905
10482,2015-02-22,22014,IND,39.0,0.48100000000000004,8.0,0.421,18.0,0.7829999999999999,7.0,39.0,20.0,15.0,23.0,104,GSW,34.0,0.382,9.0,0.34600000000000003,21.0,0.955,13.0,32.0,19.0,10.0,25.0,98,0.5351502980166672
10499,2015-02-25,22014,POR,43.0,0.506,13.0,0.5,12.0,0.8,12.0,33.0,25.0,14.0,16.0,111,SAS,37.0,0.435,8.0,0.381,13.0,0.929,10.0,27.0,20.0,13.0,16.0,95,0.591192752711101
10497,2015-02-25,22014,ORL,33.0,0.423,6.0,0.273,18.0,0.581,12.0,38.0,17.0,19.0,28.0,90,MIA,32.0,0.381,6.0,0.194,23.0,0.7190000000000001,8.0,34.0,17.0,14.0,24.0,93,0.4805818014229061
10496,2015-02-25,22014,BOS,42.0,0.506,14.0,0.452,17.0,0.85,8.0,38.0,29.0,14.0,26.0,115,NYK,34.0,0.415,2.0,0.095,24.0,0.774,9.0,32.0,19.0,13.0,20.0,94,0.6172472633788124
10495,2015-02-25,22014,CHI,34.0,0.442,3.0,0.17600000000000002,15.0,0.652,9.0,34.0,24.0,12.0,17.0,86,CHA,39.0,0.46399999999999997,4.0,0.28600000000000003,16.0,0.762,12.0,33.0,16.0,9.0,18.0,98,0.42321974138821317
10494,2015-02-24,22014,WAS,42.0,0.532,5.0,0.278,18.0,0.857,9.0,36.0,23.0,26.0,20.0,107,GSW,45.0,0.5,12.0,0.522,12.0,0.706,4.0,25.0,27.0,9.0,17.0,114,0.46252391928695846
10493,2015-02-24,22014,OKC,40.0,0.41700000000000004,9.0,0.375,16.0,0.889,15.0,42.0,23.0,10.0,16.0,105,IND,38.0,0.43200000000000005,9.0,0.34600000000000003,7.0,0.636,9.0,39.0,26.0,14.0,17.0,92,0.5776776434444595
10492,2015-02-24,22014,DAL,38.0,0.48100000000000004,8.0,0.421,15.0,0.833,8.0,32.0,17.0,20.0,13.0,99,TOR,38.0,0.452,9.0,0.34600000000000003,7.0,0.636,7.0,30.0,17.0,19.0,20.0,92,0.5433397453587084
10491,2015-02-24,22014,DET,33.0,0.402,9.0,0.375,18.0,0.6,11.0,35.0,16.0,15.0,21.0,93,CLE,34.0,0.442,14.0,0.378,20.0,0.833,4.0,36.0,22.0,15.0,25.0,102,0.44548636181733225
10490,2015-02-23,22014,NOP,40.0,0.513,10.0,0.455,10.0,0.625,12.0,36.0,27.0,17.0,20.0,100,TOR,35.0,0.41700000000000004,5.0,0.217,22.0,0.71,16.0,24.0,13.0,8.0,15.0,97,0.518039247340635
