id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION_HOME,FGM_HOME,FG_PCT_HOME,FG3M_HOME,FG3_PCT_HOME,FTM_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,AST_HOME,TOV_HOME,PF_HOME,PTS_HOME,TEAM_ABBREVIATION_AWAY,FGM_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3_PCT_AWAY,FTM_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,AST_AWAY,TOV_AWAY,PF_AWAY,PTS_AWAY,ratio
4515,2010-02-21,22009,ORL,37.0,0.507,8.0,0.4,19.0,0.7040000000000001,6.0,28.0,13.0,11.0,19.0,101,CLE,38.0,0.46299999999999997,3.0,0.188,16.0,0.64,9.0,34.0,15.0,14.0,21.0,95,0.536223274985966
4514,2010-02-21,22009,NJN,39.0,0.44799999999999995,4.0,0.19,12.0,0.632,21.0,23.0,21.0,20.0,19.0,94,MEM,41.0,0.456,5.0,0.556,17.0,0.85,19.0,23.0,24.0,15.0,20.0,104,0.44038546972242915
4513,2010-02-21,22009,PHX,41.0,0.461,6.0,0.545,16.0,0.727,20.0,29.0,24.0,11.0,16.0,104,SAC,35.0,0.473,4.0,0.4,14.0,0.667,9.0,27.0,16.0,18.0,20.0,88,0.5977065653043238
4512,2010-02-21,22009,GSW,45.0,0.536,3.0,0.25,15.0,0.7140000000000001,9.0,31.0,21.0,13.0,22.0,108,ATL,40.0,0.455,5.0,0.333,19.0,0.679,13.0,30.0,23.0,14.0,19.0,104,0.5223462481981449
4511,2010-02-20,22009,TOR,38.0,0.521,7.0,0.5379999999999999,26.0,0.813,14.0,24.0,21.0,14.0,19.0,109,WAS,43.0,0.473,6.0,0.429,12.0,0.667,16.0,18.0,20.0,14.0,26.0,104,0.5277933332931778
4510,2010-02-20,22009,DAL,33.0,0.452,3.0,0.188,28.0,0.848,9.0,27.0,24.0,7.0,14.0,97,MIA,37.0,0.46299999999999997,7.0,0.368,10.0,1.0,12.0,31.0,18.0,17.0,25.0,91,0.5377599655349936
4509,2010-02-20,22009,MIL,32.0,0.405,9.0,0.375,20.0,0.769,11.0,33.0,22.0,16.0,26.0,93,CHA,33.0,0.44,6.0,0.5,16.0,0.8420000000000001,8.0,30.0,19.0,17.0,24.0,88,0.5326964114737565
4504,2010-02-19,22009,CHA,41.0,0.547,9.0,0.474,19.0,0.76,8.0,39.0,27.0,14.0,21.0,110,CLE,32.0,0.39,12.0,0.414,17.0,0.68,9.0,28.0,15.0,10.0,18.0,93,0.5981776404494755
4507,2010-02-20,22009,LAC,35.0,0.44299999999999995,11.0,0.5,18.0,0.857,10.0,35.0,23.0,24.0,24.0,99,SAC,35.0,0.455,4.0,0.28600000000000003,15.0,0.6,5.0,27.0,19.0,17.0,23.0,89,0.5627587309317648
4505,2010-02-20,22009,CHI,44.0,0.46299999999999997,8.0,0.5329999999999999,26.0,0.813,17.0,36.0,26.0,4.0,18.0,122,PHI,33.0,0.384,6.0,0.316,18.0,0.72,16.0,33.0,19.0,15.0,22.0,90,0.672822993974225
