id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION_HOME,FGM_HOME,FG_PCT_HOME,FG3M_HOME,FG3_PCT_HOME,FTM_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,AST_HOME,TOV_HOME,PF_HOME,PTS_HOME,TEAM_ABBREVIATION_AWAY,FGM_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3_PCT_AWAY,FTM_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,AST_AWAY,TOV_AWAY,PF_AWAY,PTS_AWAY,ratio
0,2006-10-31,22006,LAL,46.0,0.5539999999999999,6.0,0.5,16.0,0.667,12.0,31.0,30.0,21.0,19.0,114,PHX,40.0,0.519,13.0,0.433,13.0,0.765,4.0,25.0,29.0,21.0,25.0,106,0.5430034097440043
824,2007-02-24,22006,SAS,41.0,0.532,8.0,0.5,12.0,0.8,9.0,32.0,32.0,11.0,13.0,102,SEA,27.0,0.33799999999999997,7.0,0.389,10.0,0.833,10.0,25.0,14.0,15.0,19.0,71,0.702375232931904
823,2007-02-23,22006,CHA,41.0,0.513,7.0,0.389,13.0,0.542,11.0,29.0,24.0,14.0,23.0,102,PHI,32.0,0.444,3.0,0.273,20.0,0.606,10.0,27.0,17.0,18.0,21.0,87,0.5931453123650444
822,2007-02-23,22006,TOR,41.0,0.562,13.0,0.65,15.0,0.75,6.0,42.0,32.0,12.0,22.0,110,IND,34.0,0.386,7.0,0.333,13.0,0.722,12.0,25.0,21.0,8.0,20.0,88,0.6292149033463672
821,2007-02-23,22006,MIN,40.0,0.5,4.0,0.4,20.0,0.8,9.0,31.0,25.0,21.0,25.0,104,PHX,43.0,0.518,12.0,0.387,18.0,0.72,8.0,31.0,34.0,16.0,23.0,116,0.4356581467465531
820,2007-02-23,22006,NOK,36.0,0.371,4.0,0.19,22.0,0.759,26.0,30.0,20.0,9.0,15.0,98,SEA,38.0,0.521,9.0,0.529,12.0,0.75,5.0,37.0,16.0,18.0,18.0,97,0.506076677139328
819,2007-02-23,22006,DEN,35.0,0.522,3.0,0.333,31.0,0.738,7.0,29.0,20.0,24.0,26.0,104,UTA,40.0,0.48200000000000004,6.0,0.353,28.0,0.737,14.0,26.0,25.0,15.0,30.0,114,0.44581762049316503
818,2007-02-23,22006,ATL,37.0,0.474,3.0,0.333,28.0,0.7,12.0,31.0,20.0,7.0,17.0,105,HOU,37.0,0.457,8.0,0.348,17.0,0.7390000000000001,10.0,28.0,18.0,10.0,27.0,99,0.5348066079458673
817,2007-02-23,22006,POR,41.0,0.5,7.0,0.467,13.0,0.813,13.0,29.0,23.0,15.0,24.0,102,MEM,33.0,0.452,6.0,0.333,31.0,0.9390000000000001,9.0,23.0,22.0,10.0,21.0,103,0.4942197238698268
816,2007-02-23,22006,ORL,29.0,0.46799999999999997,3.0,0.375,28.0,0.778,6.0,31.0,15.0,20.0,28.0,89,DET,28.0,0.39399999999999996,6.0,0.353,32.0,0.865,12.0,27.0,15.0,17.0,25.0,94,0.46766010183967194
815,2007-02-23,22006,NJN,41.0,0.526,11.0,0.393,16.0,0.8,9.0,37.0,29.0,22.0,27.0,109,SAC,31.0,0.40299999999999997,8.0,0.333,26.0,0.7879999999999999,10.0,26.0,22.0,20.0,20.0,96,0.574684333549827
814,2007-02-23,22006,NYK,30.0,0.423,10.0,0.455,25.0,0.8059999999999999,12.0,30.0,19.0,23.0,24.0,95,MIL,34.0,0.442,6.0,0.4,19.0,0.792,13.0,29.0,17.0,17.0,24.0,93,0.512604187733347
813,2007-02-23,22006,CHI,38.0,0.42700000000000005,7.0,0.467,22.0,0.815,12.0,35.0,26.0,5.0,19.0,105,WAS,32.0,0.42100000000000004,3.0,0.375,23.0,0.742,6.0,34.0,14.0,17.0,24.0,90,0.5903317814395314
812,2007-02-23,22006,LAL,45.0,0.542,12.0,0.48,20.0,0.87,9.0,29.0,32.0,15.0,24.0,122,BOS,32.0,0.42100000000000004,5.0,0.417,27.0,0.818,11.0,26.0,22.0,18.0,19.0,96,0.6383072514470254
811,2007-02-22,22006,WAS,38.0,0.475,5.0,0.333,28.0,0.8240000000000001,11.0,31.0,18.0,23.0,26.0,109,SAC,40.0,0.506,10.0,0.455,16.0,0.593,10.0,25.0,21.0,24.0,31.0,106,0.5165299308532568
810,2007-02-22,22006,DAL,39.0,0.542,6.0,0.4,28.0,0.8240000000000001,6.0,35.0,22.0,15.0,21.0,112,MIA,36.0,0.439,8.0,0.421,20.0,0.667,13.0,27.0,14.0,12.0,26.0,100,0.5667464698989347
825,2007-02-24,22006,LAC,37.0,0.46799999999999997,4.0,0.444,25.0,0.7140000000000001,11.0,37.0,31.0,19.0,22.0,103,GSW,36.0,0.439,8.0,0.364,10.0,0.667,7.0,28.0,25.0,19.0,26.0,90,0.5792654646955502
809,2007-02-22,22006,CLE,33.0,0.384,4.0,0.235,8.0,0.5,13.0,27.0,12.0,16.0,18.0,78,CHI,34.0,0.436,4.0,0.308,12.0,1.0,14.0,38.0,24.0,24.0,25.0,84,0.4562035546001034
826,2007-02-24,22006,UTA,41.0,0.513,4.0,0.364,19.0,0.679,15.0,27.0,30.0,16.0,23.0,105,BOS,31.0,0.425,6.0,0.353,19.0,0.8640000000000001,12.0,24.0,18.0,23.0,27.0,87,0.6096125273288114
828,2007-02-24,22006,DAL,45.0,0.511,4.0,0.444,21.0,0.75,11.0,34.0,22.0,18.0,25.0,115,DEN,33.0,0.44,3.0,0.3,26.0,0.7879999999999999,6.0,32.0,20.0,23.0,24.0,95,0.6113049689254465
843,2007-02-26,22006,HOU,25.0,0.321,1.0,0.045,21.0,0.7240000000000001,14.0,34.0,15.0,17.0,23.0,72,BOS,27.0,0.342,3.0,0.188,20.0,0.625,13.0,40.0,14.0,18.0,27.0,77,0.4603036843961138
842,2007-02-26,22006,LAC,30.0,0.429,2.0,0.182,38.0,0.8440000000000001,7.0,32.0,17.0,14.0,19.0,100,CHA,35.0,0.44299999999999995,6.0,0.353,17.0,0.7390000000000001,8.0,29.0,19.0,16.0,33.0,93,0.5428924525747776
841,2007-02-26,22006,NYK,31.0,0.431,7.0,0.35,30.0,0.769,10.0,30.0,12.0,10.0,14.0,99,MIA,40.0,0.494,8.0,0.444,5.0,0.625,9.0,30.0,24.0,11.0,25.0,93,0.5369756851983235
840,2007-02-26,22006,CHI,32.0,0.395,7.0,0.389,16.0,0.8,12.0,19.0,25.0,20.0,27.0,87,ORL,32.0,0.43799999999999994,3.0,0.333,27.0,0.818,19.0,30.0,22.0,27.0,22.0,94,0.45427650023715765
839,2007-02-26,22006,SAS,42.0,0.532,7.0,0.389,16.0,0.727,4.0,41.0,26.0,10.0,15.0,107,TOR,37.0,0.42,4.0,0.25,13.0,0.684,10.0,31.0,20.0,7.0,19.0,91,0.5948055107537983
838,2007-02-26,22006,PHI,36.0,0.429,2.0,0.2,15.0,0.7140000000000001,14.0,41.0,19.0,17.0,16.0,89,SAC,32.0,0.4,4.0,0.222,14.0,0.737,8.0,32.0,22.0,17.0,20.0,82,0.5483840173366367
837,2007-02-25,22006,MIN,38.0,0.43700000000000006,4.0,0.5,18.0,0.667,17.0,33.0,26.0,14.0,18.0,98,WAS,32.0,0.376,7.0,0.241,23.0,0.885,14.0,27.0,18.0,13.0,23.0,94,0.5246710216564098
836,2007-02-25,22006,ATL,41.0,0.48200000000000004,5.0,0.35700000000000004,19.0,0.905,14.0,29.0,22.0,12.0,29.0,106,PHX,41.0,0.506,9.0,0.529,24.0,0.8,10.0,25.0,27.0,11.0,17.0,115,0.4518649140896794
835,2007-02-25,22006,IND,34.0,0.382,5.0,0.278,20.0,0.769,14.0,35.0,21.0,19.0,29.0,93,SAC,36.0,0.456,7.0,0.438,31.0,0.738,7.0,36.0,25.0,14.0,22.0,110,0.4018223595505244
834,2007-02-25,22006,DET,34.0,0.37799999999999995,7.0,0.5,20.0,0.8,21.0,20.0,20.0,10.0,21.0,95,CHI,36.0,0.48,5.0,0.385,16.0,0.667,13.0,32.0,21.0,15.0,22.0,93,0.512604187733347
833,2007-02-25,22006,MIA,34.0,0.43,3.0,0.16699999999999998,15.0,0.5,12.0,38.0,21.0,14.0,22.0,86,CLE,31.0,0.36,9.0,0.375,10.0,0.47600000000000003,11.0,36.0,17.0,13.0,27.0,81,0.5354301690804738
832,2007-02-25,22006,ORL,31.0,0.392,4.0,0.333,27.0,0.659,18.0,26.0,15.0,12.0,26.0,93,HOU,29.0,0.433,14.0,0.519,25.0,0.735,9.0,29.0,17.0,18.0,29.0,97,0.47506963553104237
831,2007-02-25,22006,NJN,39.0,0.48100000000000004,8.0,0.364,15.0,0.882,9.0,28.0,28.0,6.0,20.0,101,NYK,35.0,0.473,6.0,0.316,16.0,0.762,9.0,26.0,18.0,13.0,21.0,92,0.5550747990164709
830,2007-02-25,22006,GSW,37.0,0.43,2.0,0.105,9.0,0.429,13.0,31.0,16.0,15.0,20.0,85,LAL,38.0,0.45799999999999996,7.0,0.333,19.0,0.731,10.0,35.0,24.0,14.0,18.0,102,0.3936244838553403
829,2007-02-24,22006,CHA,27.0,0.32899999999999996,4.0,0.19,18.0,0.667,12.0,36.0,17.0,11.0,18.0,76,TOR,35.0,0.449,3.0,0.375,20.0,0.87,7.0,43.0,15.0,12.0,25.0,93,0.3826246313268025
827,2007-02-24,22006,MIL,41.0,0.526,12.0,0.48,15.0,0.833,9.0,18.0,21.0,15.0,17.0,109,PHI,37.0,0.514,2.0,0.25,14.0,0.8240000000000001,8.0,22.0,21.0,21.0,16.0,90,0.611576916167646
808,2007-02-21,22006,TOR,33.0,0.423,6.0,0.375,13.0,0.765,6.0,36.0,18.0,15.0,12.0,85,CLE,36.0,0.434,3.0,0.2,11.0,0.688,10.0,37.0,13.0,14.0,17.0,86,0.4930705401377666
807,2007-02-21,22006,MIN,35.0,0.486,3.0,0.333,22.0,0.917,6.0,29.0,21.0,12.0,20.0,95,CHA,37.0,0.435,7.0,0.318,19.0,0.679,18.0,28.0,19.0,9.0,20.0,100,0.4696460948965046
806,2007-02-21,22006,ATL,37.0,0.44,1.0,0.16699999999999998,21.0,0.6,16.0,32.0,19.0,12.0,26.0,96,SAS,35.0,0.42700000000000005,4.0,0.25,29.0,0.9059999999999999,11.0,32.0,16.0,14.0,24.0,103,0.458395796273042
785,2007-02-14,22006,SEA,44.0,0.5429999999999999,9.0,0.5,17.0,0.81,8.0,36.0,26.0,16.0,20.0,114,PHX,35.0,0.389,7.0,0.35,13.0,0.929,15.0,21.0,16.0,13.0,23.0,90,0.6365083946717986
