id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION_HOME,FGM_HOME,FG_PCT_HOME,FG3M_HOME,FG3_PCT_HOME,FTM_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,AST_HOME,TOV_HOME,PF_HOME,PTS_HOME,TEAM_ABBREVIATION_AWAY,FGM_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3_PCT_AWAY,FTM_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,AST_AWAY,TOV_AWAY,PF_AWAY,PTS_AWAY,ratio
11709,2016-02-21,22015,PHX,43.0,0.462,9.0,0.375,16.0,0.727,13.0,33.0,26.0,14.0,30.0,111,SAS,43.0,0.524,10.0,0.625,22.0,0.647,8.0,34.0,23.0,12.0,20.0,118,0.46382930025813046
11704,2016-02-20,22015,LAC,42.0,0.447,13.0,0.361,15.0,0.833,15.0,34.0,24.0,14.0,24.0,112,GSW,42.0,0.512,11.0,0.355,20.0,0.769,6.0,33.0,32.0,14.0,19.0,115,0.48434341536948144
11708,2016-02-21,22015,CHI,44.0,0.557,13.0,0.684,25.0,0.9620000000000001,8.0,30.0,30.0,8.0,21.0,126,LAL,43.0,0.462,7.0,0.333,22.0,0.667,17.0,27.0,13.0,8.0,20.0,115,0.5539143196788373
11707,2016-02-20,22015,MIN,36.0,0.429,5.0,0.417,18.0,0.72,7.0,24.0,24.0,7.0,11.0,95,NYK,42.0,0.506,5.0,0.294,14.0,0.875,11.0,40.0,17.0,17.0,19.0,103,0.45224117751630316
11706,2016-02-20,22015,ATL,44.0,0.415,9.0,0.22,12.0,0.667,10.0,39.0,31.0,16.0,27.0,109,MIL,46.0,0.442,3.0,0.17600000000000002,22.0,0.688,17.0,48.0,23.0,19.0,21.0,117,0.45813382028674465
11705,2016-02-20,22015,MIA,47.0,0.49,2.0,0.154,18.0,0.643,19.0,48.0,23.0,8.0,20.0,114,WAS,40.0,0.40399999999999997,3.0,0.136,11.0,0.524,12.0,33.0,13.0,6.0,23.0,94,0.6123453817903619
11703,2016-02-19,22015,NOP,41.0,0.506,7.0,0.412,32.0,0.8,11.0,31.0,22.0,16.0,22.0,121,PHI,40.0,0.526,12.0,0.444,22.0,0.846,3.0,29.0,20.0,20.0,27.0,114,0.5352497436557208
11696,2016-02-19,22015,POR,52.0,0.536,17.0,0.5670000000000001,16.0,0.696,8.0,40.0,28.0,13.0,21.0,137,GSW,36.0,0.391,12.0,0.353,21.0,0.75,14.0,33.0,25.0,20.0,17.0,105,0.6525957454842323
11701,2016-02-19,22015,MEM,40.0,0.488,7.0,0.333,22.0,0.7859999999999999,11.0,31.0,17.0,14.0,24.0,109,MIN,31.0,0.413,11.0,0.423,31.0,1.0,11.0,31.0,25.0,22.0,25.0,104,0.5277933332931778
11700,2016-02-19,22015,WAS,36.0,0.462,7.0,0.318,19.0,0.731,8.0,39.0,26.0,9.0,20.0,98,DET,35.0,0.42700000000000005,7.0,0.304,9.0,0.529,6.0,35.0,13.0,13.0,20.0,86,0.5767802586117867
11699,2016-02-19,22015,SAC,41.0,0.494,10.0,0.476,24.0,0.774,7.0,38.0,16.0,22.0,24.0,116,DEN,42.0,0.467,8.0,0.333,18.0,0.6920000000000001,9.0,35.0,26.0,18.0,26.0,110,0.5314260912919959
11698,2016-02-19,22015,ATL,41.0,0.47100000000000003,16.0,0.444,13.0,1.0,8.0,34.0,27.0,21.0,23.0,111,MIA,44.0,0.5,8.0,0.4,19.0,0.679,10.0,36.0,27.0,16.0,12.0,115,0.47903665464807854
11697,2016-02-19,22015,MIL,36.0,0.444,7.0,0.368,16.0,0.762,12.0,35.0,22.0,22.0,17.0,95,CHA,37.0,0.43,9.0,0.29,15.0,0.833,8.0,29.0,13.0,18.0,16.0,98,0.4815871573496607
11710,2016-02-21,22015,BKN,35.0,0.43200000000000005,5.0,0.227,21.0,0.875,9.0,33.0,23.0,14.0,15.0,96,CHA,40.0,0.506,10.0,0.37,14.0,0.9329999999999999,6.0,35.0,23.0,15.0,21.0,104,0.4527164085138788
11702,2016-02-19,22015,OKC,42.0,0.43799999999999994,5.0,0.192,9.0,0.9,9.0,39.0,28.0,13.0,21.0,98,IND,39.0,0.44299999999999995,9.0,0.409,14.0,0.636,10.0,35.0,27.0,13.0,14.0,101,0.48214192421380364
11711,2016-02-21,22015,ORL,38.0,0.418,7.0,0.28,19.0,0.655,11.0,34.0,27.0,15.0,23.0,102,IND,41.0,0.5,9.0,0.375,14.0,0.667,5.0,39.0,26.0,21.0,25.0,105,0.4828316364085449
11728,2016-02-23,22015,DEN,41.0,0.41,10.0,0.37,18.0,0.818,12.0,32.0,27.0,12.0,25.0,110,SAC,43.0,0.518,7.0,0.412,21.0,0.75,6.0,44.0,28.0,16.0,18.0,114,0.4788496647137031
11713,2016-02-21,22015,POR,39.0,0.433,12.0,0.375,25.0,0.6579999999999999,23.0,25.0,20.0,14.0,21.0,115,UTA,43.0,0.5,8.0,0.5,17.0,0.7390000000000001,12.0,26.0,19.0,11.0,26.0,111,0.5209633453519215
11695,2016-02-19,22015,UTA,37.0,0.544,10.0,0.435,27.0,0.614,8.0,43.0,22.0,16.0,26.0,111,BOS,30.0,0.37,7.0,0.28,26.0,0.722,8.0,26.0,18.0,7.0,31.0,93,0.6033219032913215
11729,2016-02-23,22015,WAS,43.0,0.457,12.0,0.462,11.0,0.647,7.0,48.0,29.0,15.0,24.0,109,NOP,29.0,0.349,6.0,0.261,25.0,0.758,8.0,40.0,17.0,17.0,17.0,89,0.617848530620349
11727,2016-02-23,22015,UTA,38.0,0.514,10.0,0.417,31.0,0.816,8.0,33.0,22.0,22.0,29.0,117,HOU,36.0,0.414,11.0,0.324,31.0,0.7559999999999999,11.0,24.0,17.0,15.0,28.0,114,0.5153856168795677
11726,2016-02-23,22015,POR,40.0,0.5,10.0,0.435,22.0,0.88,7.0,33.0,24.0,15.0,18.0,112,BKN,43.0,0.478,3.0,0.25,15.0,0.789,12.0,35.0,18.0,13.0,20.0,104,0.5437964453998966
11725,2016-02-23,22015,PHI,43.0,0.544,10.0,0.476,19.0,0.731,6.0,30.0,23.0,22.0,29.0,115,ORL,41.0,0.48200000000000004,7.0,0.5,35.0,0.8540000000000001,13.0,30.0,26.0,13.0,22.0,124,0.4554737247652406
11724,2016-02-22,22015,MIN,43.0,0.518,8.0,0.5329999999999999,30.0,0.75,15.0,36.0,24.0,17.0,17.0,124,BOS,49.0,0.485,10.0,0.35700000000000004,14.0,0.8240000000000001,10.0,28.0,33.0,11.0,27.0,122,0.5096331664342383
11723,2016-02-22,22015,ATL,36.0,0.419,10.0,0.294,10.0,0.625,8.0,39.0,23.0,18.0,17.0,92,GSW,39.0,0.43799999999999994,14.0,0.311,10.0,0.833,6.0,37.0,30.0,13.0,17.0,102,0.4391662088519407
11712,2016-02-21,22015,DET,37.0,0.41600000000000004,12.0,0.364,20.0,0.625,11.0,30.0,18.0,11.0,25.0,106,NOP,41.0,0.47700000000000004,4.0,0.2,25.0,0.862,11.0,40.0,23.0,15.0,20.0,111,0.472718141958502
11722,2016-02-22,22015,MIL,44.0,0.512,5.0,0.313,15.0,0.6,7.0,37.0,32.0,9.0,27.0,108,LAL,28.0,0.368,12.0,0.414,33.0,0.767,11.0,35.0,18.0,17.0,24.0,101,0.5396206038467685
11720,2016-02-22,22015,CLE,34.0,0.43,8.0,0.308,12.0,0.9229999999999999,5.0,35.0,19.0,18.0,21.0,88,DET,37.0,0.46299999999999997,8.0,0.32,14.0,0.667,6.0,37.0,17.0,15.0,15.0,96,0.44862768274898257
11719,2016-02-22,22015,LAC,44.0,0.55,13.0,0.542,23.0,0.657,10.0,43.0,29.0,18.0,20.0,124,PHX,31.0,0.35200000000000004,7.0,0.292,15.0,0.75,10.0,31.0,20.0,18.0,27.0,84,0.7156593912751492
11718,2016-02-22,22015,NYK,37.0,0.44,6.0,0.3,15.0,0.652,12.0,28.0,18.0,8.0,20.0,95,TOR,46.0,0.529,11.0,0.44,19.0,0.76,13.0,34.0,26.0,7.0,19.0,122,0.3559831154191508
11717,2016-02-21,22015,OKC,37.0,0.41100000000000003,5.0,0.238,13.0,0.684,14.0,25.0,22.0,10.0,23.0,92,CLE,41.0,0.513,10.0,0.435,23.0,0.852,13.0,36.0,25.0,13.0,21.0,115,0.3707850966536328
11716,2016-02-21,22015,TOR,33.0,0.40700000000000003,7.0,0.25,25.0,0.8059999999999999,9.0,38.0,12.0,14.0,22.0,98,MEM,28.0,0.368,3.0,0.15,26.0,0.813,10.0,34.0,13.0,13.0,25.0,85,0.5835319472139389
11715,2016-02-21,22015,DEN,34.0,0.466,6.0,0.28600000000000003,27.0,0.794,6.0,30.0,19.0,24.0,26.0,101,BOS,47.0,0.485,10.0,0.313,17.0,0.85,15.0,33.0,32.0,17.0,25.0,121,0.39455911095097745
11714,2016-02-21,22015,DAL,41.0,0.48200000000000004,13.0,0.382,34.0,0.9440000000000001,14.0,34.0,23.0,11.0,19.0,129,PHI,37.0,0.48100000000000004,12.0,0.429,17.0,0.63,8.0,27.0,19.0,16.0,31.0,103,0.6302868727673117
11721,2016-02-22,22015,MIA,38.0,0.38,2.0,0.154,23.0,0.6759999999999999,20.0,46.0,19.0,15.0,24.0,101,IND,36.0,0.391,5.0,0.333,16.0,0.64,7.0,38.0,17.0,13.0,26.0,93,0.5487384536391113
11694,2016-02-19,22015,ORL,41.0,0.402,13.0,0.371,15.0,0.882,14.0,49.0,25.0,12.0,20.0,110,DAL,37.0,0.41600000000000004,19.0,0.463,11.0,0.611,6.0,39.0,23.0,18.0,12.0,104,0.5331841571439331
11658,2016-02-08,22015,PHI,34.0,0.37799999999999995,6.0,0.24,18.0,0.857,11.0,43.0,20.0,21.0,31.0,92,LAC,35.0,0.368,5.0,0.227,23.0,0.742,14.0,38.0,21.0,12.0,22.0,98,0.46263628343486474
11692,2016-02-19,22015,PHX,30.0,0.366,11.0,0.314,29.0,0.8290000000000001,9.0,31.0,23.0,21.0,33.0,100,HOU,37.0,0.474,7.0,0.292,35.0,0.625,13.0,38.0,20.0,20.0,32.0,116,0.4129568030382052
11671,2016-02-09,22015,MIL,45.0,0.511,7.0,0.368,15.0,0.652,11.0,27.0,25.0,14.0,20.0,112,BOS,39.0,0.46399999999999997,10.0,0.345,23.0,0.958,13.0,31.0,28.0,18.0,23.0,111,0.5053137369010791
11670,2016-02-09,22015,MIA,40.0,0.5710000000000001,4.0,0.333,17.0,0.708,1.0,30.0,21.0,18.0,20.0,101,SAS,47.0,0.528,6.0,0.429,19.0,0.731,11.0,32.0,25.0,10.0,17.0,119,0.40403340569585106
11669,2016-02-09,22015,NYK,44.0,0.53,8.0,0.308,12.0,0.857,7.0,39.0,22.0,16.0,20.0,108,WAS,39.0,0.5,16.0,0.615,17.0,0.68,2.0,30.0,26.0,10.0,18.0,111,0.4837718097464219
11668,2016-02-09,22015,GSW,44.0,0.46799999999999997,12.0,0.353,23.0,0.885,14.0,35.0,28.0,12.0,26.0,123,HOU,37.0,0.425,13.0,0.394,23.0,0.657,13.0,30.0,24.0,12.0,22.0,110,0.5658007502479744
11667,2016-02-08,22015,MEM,43.0,0.5,7.0,0.368,13.0,0.684,5.0,34.0,18.0,16.0,24.0,106,POR,44.0,0.494,10.0,0.345,14.0,0.7,8.0,29.0,22.0,13.0,23.0,112,0.46742329545648353
11666,2016-02-08,22015,CHA,35.0,0.43799999999999994,14.0,0.389,24.0,0.774,10.0,46.0,20.0,13.0,19.0,108,CHI,35.0,0.389,10.0,0.4,11.0,0.7859999999999999,8.0,33.0,25.0,7.0,22.0,91,0.6001077238983039
11665,2016-02-08,22015,MIN,36.0,0.444,2.0,0.16699999999999998,28.0,0.8,11.0,39.0,24.0,12.0,23.0,102,NOP,47.0,0.485,10.0,0.417,12.0,0.6,9.0,32.0,22.0,4.0,25.0,116,0.4243788408956042
11664,2016-02-08,22015,ATL,43.0,0.467,12.0,0.414,12.0,0.6,8.0,39.0,31.0,14.0,20.0,110,ORL,46.0,0.495,9.0,0.31,16.0,0.727,6.0,41.0,37.0,13.0,22.0,117,0.46351154280902546
11663,2016-02-08,22015,IND,31.0,0.397,4.0,0.14800000000000002,23.0,0.6970000000000001,8.0,45.0,13.0,16.0,21.0,89,LAL,29.0,0.312,8.0,0.229,21.0,0.8079999999999999,14.0,37.0,13.0,12.0,24.0,87,0.5134632335770539
11662,2016-02-08,22015,DET,36.0,0.45,8.0,0.28600000000000003,9.0,0.529,11.0,28.0,22.0,16.0,18.0,89,TOR,39.0,0.557,11.0,0.55,14.0,0.8240000000000001,2.0,34.0,22.0,15.0,22.0,103,0.41429462717394894
11661,2016-02-08,22015,CLE,45.0,0.479,16.0,0.457,14.0,0.737,12.0,41.0,27.0,14.0,25.0,120,SAC,36.0,0.439,9.0,0.391,19.0,0.655,8.0,36.0,28.0,17.0,23.0,100,0.6063755161446597
11660,2016-02-08,22015,BKN,42.0,0.519,9.0,0.474,12.0,0.8,8.0,31.0,23.0,15.0,11.0,105,DEN,42.0,0.467,9.0,0.36,11.0,0.846,12.0,30.0,24.0,12.0,16.0,104,0.5056696567067798
11659,2016-02-08,22015,PHX,37.0,0.507,1.0,0.091,31.0,0.795,9.0,27.0,22.0,18.0,30.0,106,OKC,42.0,0.494,15.0,0.455,23.0,0.767,14.0,24.0,23.0,14.0,29.0,122,0.41746727090515684
11806,2016-03-04,22015,MEM,37.0,0.457,4.0,0.222,16.0,0.8420000000000001,9.0,33.0,14.0,11.0,22.0,94,UTA,32.0,0.42700000000000005,5.0,0.263,19.0,0.655,12.0,33.0,21.0,17.0,18.0,88,0.5390007095948717
11657,2016-02-07,22015,MIA,33.0,0.39799999999999996,7.0,0.412,20.0,0.69,13.0,40.0,14.0,13.0,21.0,93,LAC,37.0,0.457,9.0,0.36,17.0,0.515,7.0,35.0,17.0,6.0,25.0,100,0.4571075474252225
11672,2016-02-09,22015,DAL,36.0,0.48,11.0,0.379,36.0,0.878,6.0,30.0,24.0,11.0,21.0,119,UTA,48.0,0.522,6.0,0.231,19.0,0.7040000000000001,13.0,31.0,23.0,11.0,25.0,121,0.4901260552470899
11673,2016-02-10,22015,PHI,42.0,0.462,15.0,0.429,11.0,0.647,18.0,26.0,29.0,19.0,21.0,110,SAC,44.0,0.506,4.0,0.25,22.0,0.759,15.0,29.0,29.0,14.0,16.0,114,0.4788496647137031
11674,2016-02-10,22015,CHI,38.0,0.442,5.0,0.35700000000000004,9.0,0.75,11.0,34.0,21.0,19.0,17.0,90,ATL,43.0,0.478,13.0,0.394,14.0,0.9329999999999999,11.0,35.0,25.0,13.0,14.0,113,0.36833642588369353
11675,2016-02-10,22015,PHX,41.0,0.441,6.0,0.28600000000000003,16.0,0.727,10.0,40.0,21.0,18.0,23.0,104,GSW,37.0,0.41600000000000004,14.0,0.35,24.0,0.828,8.0,42.0,24.0,13.0,22.0,112,0.4562035546001034
11691,2016-02-19,22015,CHI,48.0,0.516,7.0,0.438,13.0,0.65,11.0,38.0,32.0,9.0,27.0,116,TOR,38.0,0.43200000000000005,5.0,0.278,25.0,0.735,11.0,34.0,22.0,8.0,19.0,106,0.5532122515006213
11690,2016-02-19,22015,LAL,40.0,0.494,10.0,0.455,23.0,0.885,12.0,24.0,20.0,16.0,17.0,113,SAS,48.0,0.545,6.0,0.5,17.0,0.9440000000000001,13.0,26.0,30.0,11.0,20.0,119,0.4693849590647761
11689,2016-02-18,22015,WAS,42.0,0.488,7.0,0.389,12.0,0.5710000000000001,6.0,30.0,25.0,14.0,20.0,103,UTA,31.0,0.40299999999999997,4.0,0.267,23.0,0.7929999999999999,12.0,36.0,20.0,23.0,21.0,89,0.5857053728260512
