Unnamed: 0,id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,OREB,DREB,AST,TOV,PF,HOA,ENEMY,RATIO
0,0,20061031,22006,MIA,25,0.385,3,0.17600000000000002,13,0.591,4,25,13,23,24,1,CHI,0.271910112
1,0,20061031,22006,PHX,40,0.519,13,0.433,13,0.765,4,25,29,21,25,0,LAL,0.463684384
2,0,20061031,22006,CHI,39,0.494,7,0.5379999999999999,23,0.7190000000000001,13,36,22,16,21,0,MIA,0.728089888
3,0,20061031,22006,LAL,46,0.5539999999999999,6,0.5,16,0.667,12,31,30,21,19,1,PHX,0.536315616
4,0,20061101,22006,CHA,37,0.474,4,0.4,21,0.6559999999999999,11,35,23,22,29,1,IND,0.465893426
5,0,20061101,22006,DET,31,0.431,8,0.381,27,0.794,13,35,19,22,23,1,MIL,0.46045806
6,0,20061101,22006,CLE,37,0.474,8,0.421,15,0.5,16,34,24,17,25,1,WAS,0.5157029320000001
7,0,20061101,22006,MIN,35,0.486,4,0.444,18,0.9,6,32,19,21,26,1,SAC,0.551292907
8,0,20061101,22006,ORL,35,0.593,6,0.75,33,0.7859999999999999,6,30,21,23,23,1,CHI,0.57349037
9,0,20061101,22006,NYK,40,0.421,10,0.455,28,0.778,18,38,22,25,42,0,MEM,0.504255242
10,0,20061101,22006,PHI,31,0.419,3,0.333,23,0.92,15,32,19,17,22,1,ATL,0.579250505
11,0,20061101,22006,UTA,39,0.527,3,0.3,26,0.8390000000000001,11,36,19,16,25,1,HOU,0.5489021
12,0,20061101,22006,NJN,40,0.513,3,0.16699999999999998,19,0.792,9,43,28,24,26,1,TOR,0.551409794
13,0,20061101,22006,BOS,30,0.4,3,0.188,24,0.615,10,42,18,19,31,1,NOK,0.477539432
14,0,20061101,22006,SEA,41,0.456,6,0.316,18,0.9,15,19,23,13,25,1,POR,0.48148783
15,0,20061101,22006,GSW,34,0.415,3,0.158,27,0.643,12,34,18,10,31,1,LAL,0.442499079
16,0,20061101,22006,NOK,36,0.429,1,0.091,18,0.545,10,36,17,15,31,0,BOS,0.522460568
17,0,20061101,22006,TOR,37,0.394,4,0.2,14,0.7,7,31,21,15,27,0,NJN,0.448590206
18,0,20061101,22006,HOU,32,0.4320000000000001,10,0.455,23,0.639,10,26,19,13,22,0,UTA,0.4510979000000001
19,0,20061101,22006,ATL,26,0.333,4,0.235,19,0.8640000000000001,17,25,11,18,24,0,PHI,0.420749495
20,0,20061101,22006,POR,40,0.5479999999999999,2,0.2,28,0.8,10,30,13,16,21,0,SEA,0.51851217
21,0,20061101,22006,IND,35,0.407,6,0.375,30,0.732,18,32,26,17,26,0,CHA,0.534106574
