Unnamed: 0,id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,OREB,DREB,AST,TOV,PF,HOA,ENEMY,RATIO
0,0,20141028,22014,DAL,38,0.487,8,0.381,16,0.8420000000000001,9,24,17,10,20,0,SAS,0.495024999
1,0,20141028,22014,HOU,31,0.425,12,0.414,34,0.68,14,33,22,14,30,0,LAL,0.590163934
2,0,20141028,22014,NOP,41,0.406,4,0.235,15,0.484,26,36,20,9,17,1,ORL,0.5911224429999999
3,0,20141028,22014,LAL,28,0.354,3,0.3,31,0.795,11,25,16,13,32,1,HOU,0.409836066
4,0,20141028,22014,ORL,32,0.381,4,0.364,16,0.762,16,40,17,18,25,0,NOP,0.408877557
5,0,20141028,22014,SAS,37,0.529,14,0.5,13,0.813,9,29,23,21,20,1,DAL,0.504975001
6,0,20141029,22014,UTA,38,0.469,3,0.16699999999999998,14,0.8240000000000001,13,21,16,14,16,1,HOU,0.444335988
7,0,20141029,22014,OKC,33,0.407,2,0.125,21,0.8079999999999999,14,29,19,15,28,0,POR,0.413478102
8,0,20141029,22014,DET,31,0.369,6,0.231,11,0.579,8,37,15,16,27,0,DEN,0.440686344
9,0,20141029,22014,WAS,36,0.48,6,0.316,17,0.708,7,29,20,14,20,0,MIA,0.44080297
10,0,20141029,22014,CHI,36,0.507,7,0.292,25,0.833,10,37,21,15,18,0,NYK,0.628252788
11,0,20141029,22014,BKN,39,0.488,7,0.368,20,0.769,9,30,20,21,21,0,BOS,0.429556612
12,0,20141029,22014,CHA,41,0.406,6,0.28600000000000003,20,0.69,15,35,27,13,20,1,MIL,0.509344978
13,0,20141029,22014,MEM,43,0.524,4,0.267,15,0.75,10,23,21,17,21,1,MIN,0.519410157
14,0,20141029,22014,MIA,39,0.481,9,0.321,20,0.87,12,32,20,14,17,1,WAS,0.55919703
15,0,20141029,22014,POR,39,0.448,11,0.379,17,0.773,13,29,23,10,19,1,OKC,0.586521898
16,0,20141029,22014,GSW,33,0.44,6,0.222,23,0.7190000000000001,7,37,21,22,32,0,SAC,0.603517454
17,0,20141029,22014,PHI,34,0.382,6,0.28600000000000003,17,0.5670000000000001,15,27,17,11,29,0,IND,0.438380095
18,0,20141029,22014,MIN,39,0.453,6,0.5,17,0.7390000000000001,19,28,20,23,21,0,MEM,0.480589843
19,0,20141029,22014,NYK,31,0.365,3,0.17600000000000002,15,0.882,14,24,19,12,22,1,CHI,0.3717472120000001
20,0,20141029,22014,PHX,45,0.5489999999999999,16,0.5,13,0.722,9,31,23,14,25,1,LAL,0.590977381
21,0,20141029,22014,BOS,49,0.557,8,0.364,15,0.652,9,26,28,13,25,1,BKN,0.5704433879999999
22,0,20141029,22014,IND,38,0.469,8,0.32,19,0.679,14,36,22,18,24,1,PHI,0.561619905
23,0,20141029,22014,DEN,30,0.353,6,0.25,23,0.742,14,37,17,15,21,1,DET,0.559313656
24,0,20141029,22014,SAC,24,0.308,3,0.16699999999999998,26,0.743,15,35,13,27,26,1,GSW,0.396482546
25,0,20141029,22014,TOR,37,0.411,8,0.308,27,0.818,16,32,26,10,22,1,ATL,0.533138883
26,0,20141029,22014,ATL,40,0.5,13,0.591,9,0.529,10,32,26,19,24,0,TOR,0.4668611170000001
27,0,20141029,22014,MIL,39,0.488,7,0.5,21,0.875,3,32,25,15,25,0,CHA,0.4906550220000001
28,0,20141030,22014,CLE,32,0.457,9,0.375,17,0.85,11,22,22,19,15,1,NYK,0.472992701
29,0,20141030,22014,LAC,34,0.391,7,0.233,18,0.72,14,19,17,12,27,1,OKC,0.516389038
30,1,20141030,22014,DAL,47,0.5529999999999999,8,0.381,18,0.7829999999999999,13,31,25,9,15,1,UTA,0.580551524
31,1,20141029,22014,HOU,40,0.519,14,0.519,10,0.7140000000000001,8,27,18,18,23,0,UTA,0.555664012
32,1,20141101,22014,NOP,38,0.4270000000000001,7,0.368,21,0.75,14,33,24,13,19,1,DAL,0.47653875
33,1,20141029,22014,LAL,37,0.43,4,0.308,21,0.84,12,26,20,15,18,0,PHX,0.409022619
34,1,20141030,22014,ORL,37,0.514,6,0.4,18,0.75,3,30,20,18,23,1,WAS,0.465558195
35,1,20141031,22014,SAS,32,0.41,8,0.32,17,0.7390000000000001,5,40,20,13,25,0,PHX,0.4726979770000001
36,1,20141030,22014,UTA,36,0.434,14,0.4,16,0.889,15,25,22,16,21,0,DAL,0.419448476
37,1,20141030,22014,OKC,28,0.431,6,0.28600000000000003,28,0.8240000000000001,8,39,23,27,27,0,LAC,0.483610962
38,1,20141030,22014,DET,38,0.418,7,0.333,8,0.615,14,32,20,12,24,0,MIN,0.468117581
