Unnamed: 0,id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,OREB,DREB,AST,TOV,PF,HOA,ENEMY,RATIO
0,0,20171017,22017,GSW,43,0.5379999999999999,16,0.5329999999999999,19,0.905,6,35,34,17,25,1,HOU,0.495884843
1,0,20171017,22017,HOU,47,0.485,15,0.366,13,0.684,10,33,28,13,16,0,GSW,0.504115157
2,0,20171017,22017,BOS,36,0.409,8,0.25,19,0.76,9,37,24,12,24,0,CLE,0.485077951
3,0,20171017,22017,CLE,38,0.458,5,0.227,21,0.84,9,41,19,17,25,1,BOS,0.5149220489999999
4,0,20171018,22017,POR,44,0.489,14,0.583,22,0.7859999999999999,15,42,22,18,20,0,PHX,0.726928896
5,0,20171018,22017,MIL,38,0.5,7,0.333,25,0.833,6,39,19,15,22,0,BOS,0.5384047270000001
6,0,20171018,22017,DEN,36,0.468,13,0.481,11,0.917,7,31,21,21,18,0,UTA,0.450616077
7,0,20171018,22017,CHA,29,0.397,9,0.3,23,0.7929999999999999,3,44,16,17,15,0,DET,0.437743191
8,0,20171018,22017,MEM,39,0.424,9,0.31,16,0.5710000000000001,15,30,19,12,29,1,NOP,0.561619905
9,0,20171018,22017,BKN,45,0.479,12,0.4,29,0.906,11,32,22,20,25,0,IND,0.466826256
10,0,20171018,22017,MIA,44,0.436,8,0.267,13,0.765,11,33,27,13,20,0,ORL,0.468918972
11,0,20171018,22017,IND,53,0.52,9,0.265,25,0.7809999999999999,14,33,29,14,25,1,BKN,0.533173744
12,0,20171018,22017,DAL,38,0.442,17,0.378,18,0.857,9,32,27,16,19,1,ATL,0.473702422
13,0,20171018,22017,NOP,30,0.38,7,0.28,24,0.828,16,35,15,18,31,0,MEM,0.438380095
14,0,20171018,22017,SAC,42,0.477,8,0.348,8,0.8,9,33,19,18,20,1,HOU,0.4756242570000001
15,0,20171018,22017,PHI,43,0.462,15,0.429,14,0.737,11,37,25,17,28,0,WAS,0.478733032
16,0,20171018,22017,ATL,48,0.511,9,0.5,12,0.8,14,36,20,13,18,0,DAL,0.526297578
17,0,20171018,22017,PHX,28,0.315,7,0.259,13,0.722,10,23,10,16,22,1,POR,0.273071104
18,0,20171018,22017,ORL,43,0.478,8,0.381,22,0.759,11,39,22,15,18,1,MIA,0.531081028
19,0,20171018,22017,DET,41,0.4270000000000001,9,0.34600000000000003,11,0.917,9,38,24,9,21,1,CHA,0.562256809
20,0,20171018,22017,UTA,41,0.506,9,0.375,15,0.938,6,30,28,15,18,1,DEN,0.5493839229999999
21,0,20171018,22017,MIN,37,0.435,8,0.421,17,0.7390000000000001,11,31,23,13,16,0,SAS,0.461223529
22,0,20171018,22017,SAS,41,0.461,8,0.381,17,0.895,12,38,22,11,18,1,MIN,0.538776471
23,0,20171018,22017,WAS,42,0.433,6,0.273,30,0.789,16,36,21,10,20,1,PHI,0.5212669679999999
24,0,20171019,22017,LAL,37,0.407,4,0.25,14,0.609,12,40,21,20,15,1,LAC,0.420508744
25,0,20171019,22017,TOR,39,0.47,13,0.448,26,0.929,13,36,26,17,19,1,CHI,0.577863143
26,0,20171019,22017,OKC,39,0.433,11,0.289,16,0.727,13,28,26,20,22,1,NYK,0.609756098
27,0,20171019,22017,CHI,37,0.416,10,0.313,16,0.889,10,29,22,19,23,0,TOR,0.422136857
28,0,20171019,22017,NYK,32,0.405,7,0.292,13,0.684,11,30,19,26,23,0,OKC,0.390243902
29,0,20171019,22017,LAC,42,0.393,12,0.364,12,0.923,17,42,23,15,20,0,LAL,0.5794912560000001
30,1,20171020,22017,GSW,47,0.516,18,0.45,16,0.8,10,39,29,18,23,0,NOP,0.5322245320000001
31,1,20171018,22017,HOU,33,0.398,12,0.267,27,0.931,12,32,19,16,14,0,SAC,0.524375743
32,1,20171018,22017,BOS,39,0.429,11,0.393,11,0.524,11,32,23,15,27,1,MIL,0.461595273
33,1,20171020,22017,CLE,44,0.5429999999999999,11,0.423,17,1.0,9,35,25,18,11,0,MIL,0.588497704
34,1,20171020,22017,POR,46,0.484,9,0.474,13,0.765,11,40,19,9,26,0,IND,0.585089141
35,1,20171020,22017,MIL,38,0.463,11,0.314,10,0.833,8,22,23,15,17,1,CLE,0.411502296
36,1,20171021,22017,DEN,37,0.435,10,0.333,12,0.6,18,40,25,16,19,1,SAC,0.596234716
37,1,20171020,22017,CHA,37,0.43,11,0.306,24,0.8,12,45,17,21,18,1,ATL,0.589276857
38,1,20171021,22017,MEM,36,0.468,10,0.37,29,0.784,6,34,20,14,25,1,GSW,0.547065092
39,1,20171020,22017,BKN,46,0.5,9,0.333,25,0.7140000000000001,15,33,22,18,17,1,ORL,0.520234623
40,1,20171021,22017,MIA,45,0.517,14,0.412,8,0.5710000000000001,6,39,24,14,19,1,IND,0.51817581
41,1,20171020,22017,IND,35,0.449,4,0.222,22,0.667,6,33,15,12,17,1,POR,0.414910859
42,1,20171020,22017,DAL,31,0.413,11,0.333,15,0.7140000000000001,7,29,19,12,13,1,SAC,0.472396755
43,1,20171020,22017,NOP,45,0.459,16,0.444,14,0.636,16,34,26,19,19,1,GSW,0.467775468
