Unnamed: 0,id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,OREB,DREB,AST,TOV,PF,HOA,ENEMY,RATIO
0,0,20121030,22012,WAS,32,0.35600000000000004,8,0.25,12,0.6,18,21,26,13,19,0,CLE,0.44399698
1,0,20121030,22012,MIA,43,0.544,8,0.5,26,0.813,5,31,25,8,20,1,BOS,0.557081512
2,0,20121030,22012,CLE,36,0.456,7,0.35,15,0.682,18,36,22,21,21,1,WAS,0.55600302
3,0,20121030,22012,LAL,38,0.494,3,0.231,12,0.387,15,31,24,14,21,1,DAL,0.457969251
4,0,20121030,22012,DAL,40,0.471,5,0.333,14,0.778,9,31,22,12,25,0,LAL,0.542030749
5,0,20121030,22012,BOS,39,0.52,6,0.462,23,0.821,7,34,24,16,23,0,MIA,0.442918488
6,0,20121031,22012,GSW,33,0.384,5,0.294,16,0.696,17,32,19,18,20,0,PHX,0.511626335
7,0,20121031,22012,MEM,33,0.384,2,0.14300000000000002,24,0.8,17,27,24,21,25,0,LAC,0.45346906
8,0,20121031,22012,NOH,35,0.438,4,0.235,21,0.913,9,34,26,15,20,1,SAS,0.479390205
9,0,20121031,22012,TOR,33,0.363,6,0.353,16,0.8420000000000001,15,27,18,10,18,1,IND,0.488765463
10,0,20121031,22012,UTA,38,0.4270000000000001,6,0.429,31,0.738,20,41,24,14,25,1,DAL,0.591020597
11,0,20121031,22012,POR,42,0.506,9,0.45,23,0.821,10,20,19,12,20,1,LAL,0.544953831
12,0,20121031,22012,DET,35,0.443,6,0.375,20,0.769,10,26,21,16,15,1,HOU,0.455313473
13,0,20121031,22012,SAS,38,0.475,6,0.3,17,0.654,10,33,22,16,21,0,NOH,0.520609795
14,0,20121031,22012,LAC,38,0.514,5,0.333,20,0.69,8,31,25,22,27,1,MEM,0.54653094
15,0,20121031,22012,PHX,32,0.4,4,0.19,17,0.773,11,33,16,18,23,1,GSW,0.488373665
16,0,20121031,22012,CHI,33,0.418,2,0.222,25,0.758,14,32,21,18,19,1,SAC,0.533296337
17,0,20121031,22012,PHI,30,0.353,7,0.28,17,0.81,14,33,18,16,14,1,DEN,0.556422995
18,0,20121031,22012,DEN,33,0.375,4,0.222,5,0.455,16,38,19,22,22,0,PHI,0.443577005
19,0,20121031,22012,HOU,39,0.494,10,0.37,17,0.7390000000000001,12,33,28,20,24,0,DET,0.544686527
20,0,20121031,22012,IND,37,0.474,5,0.455,11,0.688,9,37,22,19,16,0,TOR,0.511234537
21,0,20121031,22012,SAC,34,0.405,6,0.353,13,0.813,11,29,14,21,29,0,CHI,0.466703663
22,0,20121101,22012,OKC,29,0.377,7,0.412,19,0.826,12,36,18,18,20,0,SAS,0.488236922
