Unnamed: 0,id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,OREB,DREB,AST,TOV,PF,HOA,ENEMY,RATIO
0,0,20131029,22013,LAC,41,0.494,8,0.381,13,0.565,10,30,27,16,21,0,LAL,0.440847704
1,0,20131029,22013,LAL,42,0.452,14,0.483,18,0.643,18,34,23,19,23,1,LAC,0.559152296
2,0,20131029,22013,MIA,37,0.514,11,0.55,22,0.759,5,35,26,20,21,1,CHI,0.55919703
3,0,20131029,22013,IND,34,0.479,7,0.412,22,0.688,10,34,17,21,13,1,ORL,0.554187772
4,0,20131029,22013,ORL,36,0.387,9,0.474,6,0.6,13,26,17,19,26,0,IND,0.445812228
5,0,20131029,22013,CHI,35,0.422,7,0.269,18,0.7829999999999999,11,30,23,19,27,0,MIA,0.44080297
6,0,20131030,22013,ATL,37,0.487,8,0.333,27,0.7709999999999999,5,28,27,17,20,0,DAL,0.460414648
7,0,20131030,22013,BKN,33,0.402,9,0.375,19,0.792,9,28,24,15,27,0,CLE,0.479175705
8,0,20131030,22013,NOP,34,0.4,5,0.455,17,0.81,15,28,17,15,29,1,IND,0.472992701
9,0,20131030,22013,CHA,33,0.3670000000000001,4,0.4,13,0.65,12,25,14,8,21,0,HOU,0.427755355
10,0,20131030,22013,MIL,34,0.459,5,0.313,10,0.833,5,26,19,24,22,0,NYK,0.459603709
11,0,20131030,22013,MEM,39,0.419,8,0.5329999999999999,8,0.5329999999999999,11,33,24,14,15,0,SAS,0.464148763
12,0,20131030,22013,CLE,35,0.417,5,0.333,23,0.6759999999999999,16,32,21,14,20,1,BKN,0.520824295
13,0,20131030,22013,NYK,36,0.507,3,0.231,15,0.882,6,28,17,22,16,1,MIL,0.540396291
14,0,20131030,22013,TOR,38,0.442,5,0.294,12,0.522,19,29,15,18,25,1,BOS,0.533296337
15,0,20131030,22013,HOU,36,0.474,9,0.36,15,0.625,14,40,17,19,16,1,CHA,0.572244645
16,0,20131030,22013,OKC,33,0.407,6,0.316,29,0.879,10,35,9,14,24,0,UTA,0.515071952
17,0,20131030,22013,UTA,36,0.456,6,0.273,20,0.667,10,34,25,22,28,1,OKC,0.484928048
18,0,20131030,22013,PHI,43,0.5379999999999999,8,0.381,20,0.833,8,32,24,18,21,1,MIA,0.51785145
19,0,20131030,22013,POR,33,0.407,8,0.308,17,0.708,11,28,19,14,14,0,PHX,0.433628319
20,0,20131030,22013,MIN,42,0.42,8,0.32,28,0.8240000000000001,14,35,27,15,19,1,ORL,0.5212669679999999
21,0,20131030,22013,WAS,34,0.436,10,0.4,24,0.75,13,25,23,17,30,0,DET,0.448970785
22,0,20131030,22013,GSW,46,0.535,15,0.556,18,0.7829999999999999,7,41,34,15,22,1,LAL,0.638771923
23,0,20131030,22013,BOS,32,0.485,3,0.231,20,0.69,7,26,15,22,27,0,TOR,0.466703663
24,0,20131030,22013,DAL,44,0.5710000000000001,11,0.458,19,0.792,7,35,31,20,22,1,ATL,0.539585352
25,0,20131030,22013,PHX,43,0.518,4,0.211,14,0.778,11,36,18,15,17,1,POR,0.566371681
26,0,20131030,22013,SAS,40,0.526,11,0.55,10,0.625,4,36,25,15,18,1,MEM,0.535851237
27,0,20131030,22013,DET,39,0.5,9,0.375,26,0.7879999999999999,12,32,24,19,27,1,WAS,0.551029215
28,0,20131030,22013,DEN,34,0.43,5,0.333,15,0.882,8,33,19,19,21,0,SAC,0.488765463
29,0,20131030,22013,SAC,33,0.407,8,0.381,16,0.696,11,30,13,14,26,1,DEN,0.511234537
30,1,20131031,22013,LAC,42,0.494,9,0.321,33,0.66,16,28,27,19,30,1,GSW,0.5455482629999999
31,1,20131030,22013,LAL,35,0.393,8,0.444,16,0.762,9,30,19,17,22,0,GSW,0.361228077
32,1,20131030,22013,MIA,42,0.494,16,0.4,10,0.769,7,24,30,19,25,0,PHI,0.48214855
33,1,20131030,22013,IND,30,0.429,10,0.435,25,0.833,6,31,19,18,18,0,NOP,0.527007299
34,1,20131030,22013,ORL,47,0.47,10,0.37,11,0.611,14,40,21,18,29,0,MIN,0.478733032
35,1,20131031,22013,CHI,31,0.408,3,0.188,17,0.895,13,35,20,19,16,1,NYK,0.506134738
36,1,20131101,22013,ATL,36,0.468,10,0.435,20,0.645,7,30,24,13,12,1,TOR,0.535488188
37,1,20131101,22013,BKN,33,0.485,8,0.5,27,0.6920000000000001,7,33,21,19,29,1,MIA,0.504975001
38,1,20131101,22013,NOP,32,0.348,6,0.5,20,0.769,17,27,16,12,21,0,ORL,0.400990099
39,1,20131101,22013,CHA,33,0.452,3,0.25,21,0.618,5,32,21,16,20,1,CLE,0.534441805
40,1,20131101,22013,MIL,35,0.417,6,0.4,29,0.853,17,24,18,7,24,0,BOS,0.534441805
41,1,20131101,22013,MEM,40,0.519,6,0.333,25,0.833,6,32,25,20,21,1,DET,0.51369606
42,1,20131101,22013,CLE,32,0.381,4,0.222,16,0.727,11,31,14,17,29,0,CHA,0.465558195
43,1,20131031,22013,NYK,31,0.36,9,0.375,10,0.7140000000000001,13,29,20,15,24,0,CHI,0.493865262
44,1,20131101,22013,TOR,40,0.455,7,0.304,8,0.5710000000000001,10,32,15,12,25,0,ATL,0.464511812
45,1,20131101,22013,HOU,34,0.466,11,0.379,34,0.667,13,38,17,23,20,1,DAL,0.536647894
46,1,20131101,22013,OKC,29,0.349,7,0.226,16,0.8420000000000001,14,28,16,21,28,0,MIN,0.396171729
47,1,20131101,22013,UTA,31,0.365,5,0.294,17,0.63,22,31,20,21,20,0,PHX,0.482461538
48,1,20131101,22013,PHI,48,0.511,6,0.261,7,0.5,9,37,26,19,17,0,WAS,0.533138883
49,1,20131101,22013,POR,44,0.4270000000000001,14,0.636,11,0.733,16,39,25,7,25,0,DEN,0.570732579
50,1,20131101,22013,MIN,33,0.429,8,0.4,26,0.7879999999999999,9,35,21,16,21,1,OKC,0.603828271
51,1,20131101,22013,WAS,41,0.436,9,0.34600000000000003,11,0.647,15,31,23,18,16,1,PHI,0.4668611170000001
52,1,20131031,22013,GSW,40,0.526,12,0.5710000000000001,23,0.6970000000000001,10,23,26,25,35,0,LAC,0.454451737
53,1,20131101,22013,BOS,34,0.447,4,0.25,26,0.684,18,34,13,17,29,1,MIL,0.465558195
54,1,20131101,22013,DAL,38,0.38,9,0.333,20,0.8,16,27,20,14,37,0,HOU,0.463352106
55,1,20131101,22013,PHX,31,0.373,6,0.273,19,0.792,16,30,15,17,24,1,UTA,0.517538462
56,1,20131101,22013,SAS,38,0.404,5,0.238,10,0.7140000000000001,12,38,20,12,18,0,LAL,0.534051335
57,1,20131101,22013,DET,42,0.472,7,0.333,17,0.708,15,26,21,20,26,0,MEM,0.48630394
58,1,20131101,22013,DEN,36,0.364,6,0.333,20,0.588,20,35,14,5,19,1,POR,0.429267421
59,1,20131101,22013,SAC,36,0.456,6,0.353,23,0.7190000000000001,10,25,21,10,27,1,LAC,0.457423434
60,2,20131101,22013,LAC,35,0.5,12,0.5,28,0.8240000000000001,10,29,26,15,29,0,SAC,0.542576566
61,2,20131101,22013,LAL,30,0.366,8,0.29600000000000004,17,0.708,8,38,22,12,19,1,SAS,0.465948665
62,2,20131101,22013,MIA,32,0.478,7,0.5,29,0.8059999999999999,4,26,24,16,29,0,BKN,0.495024999
63,2,20131102,22013,IND,32,0.416,10,0.35700000000000004,15,0.75,10,41,24,21,16,1,CLE,0.591251773
64,2,20131101,22013,ORL,39,0.557,11,0.5,21,0.778,5,39,22,19,19,1,NOP,0.5990099010000001
65,2,20131102,22013,CHI,42,0.452,3,0.214,17,0.895,17,34,28,18,14,0,PHI,0.485784864
66,2,20131103,22013,ATL,40,0.444,9,0.409,14,0.5379999999999999,10,42,26,13,22,0,LAL,0.490385504
67,2,20131103,22013,BKN,34,0.382,4,0.235,14,0.933,11,31,23,12,23,0,ORL,0.392464845
68,2,20131102,22013,NOP,37,0.493,7,0.5379999999999999,24,0.857,8,35,30,17,26,1,CHA,0.609756098
