Unnamed: 0,id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,OREB,DREB,AST,TOV,PF,HOA,ENEMY,RATIO
0,0,20071030,22007,HOU,34,0.459,6,0.273,21,0.677,12,37,23,19,30,0,LAL,0.510637094
1,0,20071030,22007,POR,39,0.5,6,0.462,13,0.765,8,32,15,17,19,0,SAS,0.455751998
2,0,20071030,22007,UTA,41,0.456,5,0.455,30,0.833,16,40,24,19,26,0,GSW,0.597642436
3,0,20071030,22007,GSW,32,0.416,6,0.261,26,0.684,7,30,19,20,28,1,UTA,0.402357564
4,0,20071030,22007,SAS,41,0.471,6,0.25,18,0.6920000000000001,12,28,21,9,19,1,POR,0.544248002
5,0,20071030,22007,LAL,32,0.421,2,0.25,27,0.6,11,26,18,12,22,1,HOU,0.489362906
6,0,20071031,22007,PHI,38,0.463,7,0.412,14,0.609,15,31,22,18,17,0,TOR,0.455751998
7,0,20071031,22007,SEA,40,0.417,7,0.412,16,0.593,14,38,27,21,27,0,DEN,0.424207285
8,0,20071031,22007,MIL,33,0.379,4,0.235,13,0.591,18,30,16,15,28,0,ORL,0.3983692820000001
9,0,20071031,22007,SAC,36,0.444,3,0.3,15,0.833,8,26,21,15,27,0,NOH,0.428208924
10,0,20071031,22007,WAS,36,0.364,6,0.3,32,0.711,23,33,15,18,30,0,IND,0.460759301
11,0,20071031,22007,DAL,33,0.478,9,0.5,17,0.85,5,31,23,16,17,0,CLE,0.6071736010000001
12,0,20071031,22007,CHI,38,0.396,8,0.348,19,0.731,19,26,23,16,30,0,NJN,0.458212759
13,0,20071031,22007,NJN,33,0.402,9,0.375,37,0.902,14,34,24,17,31,1,CHI,0.541787241
14,0,20071031,22007,CLE,28,0.364,3,0.25,15,0.6,16,31,13,17,21,1,DAL,0.392826399
15,0,20071031,22007,ORL,32,0.438,12,0.545,26,0.743,9,33,15,10,22,1,MIL,0.601630718
16,0,20071031,22007,IND,38,0.413,13,0.448,30,0.833,14,42,20,17,33,1,WAS,0.5392406989999999
17,0,20071031,22007,DEN,42,0.462,11,0.407,25,0.7140000000000001,13,37,31,16,21,1,SEA,0.575792715
18,0,20071031,22007,NOH,39,0.506,10,0.476,16,0.762,11,33,23,20,24,1,SAC,0.571791076
19,0,20071031,22007,TOR,41,0.482,9,0.563,15,0.882,10,27,23,11,20,1,PHI,0.544248002
20,0,20071031,22007,MEM,38,0.475,10,0.435,15,0.75,6,36,21,14,19,1,SAS,0.485368987
21,0,20071101,22007,PHX,42,0.5,11,0.333,11,0.647,5,39,31,20,14,0,SEA,0.534106574
22,0,20071101,22007,DET,31,0.388,6,0.316,23,0.767,12,32,19,12,14,0,MIA,0.564062394
23,0,20071101,22007,MIA,33,0.44,5,0.385,9,0.6,5,35,15,17,22,1,DET,0.435937606
24,0,20071102,22007,BOS,39,0.481,7,0.333,18,0.667,10,36,20,15,24,1,WAS,0.606297863
25,0,20071102,22007,LAC,41,0.482,7,0.389,31,0.861,15,38,28,18,21,1,GSW,0.525624179
26,0,20071102,22007,ATL,36,0.456,4,0.267,25,0.8059999999999999,14,38,20,15,23,1,DAL,0.535851237
27,0,20071102,22007,MIN,35,0.398,7,0.318,14,0.737,9,31,23,12,28,1,DEN,0.457969251
28,0,20071102,22007,CHA,37,0.487,6,0.375,22,0.512,17,24,20,19,23,1,MIL,0.5149220489999999
29,0,20071102,22007,NYK,42,0.462,8,0.5329999999999999,14,0.609,15,28,20,11,22,0,CLE,0.48148783
30,1,20071101,22007,HOU,39,0.488,5,0.313,23,0.767,9,32,19,14,24,0,UTA,0.554562953
31,1,20071102,22007,POR,40,0.482,6,0.462,7,0.7,9,21,23,13,18,0,NOH,0.403819217
32,1,20071101,22007,UTA,36,0.444,3,0.214,20,0.69,15,29,24,20,27,1,HOU,0.445437047
33,1,20071102,22007,GSW,44,0.468,7,0.25,19,0.76,11,25,23,10,23,0,LAC,0.474375821
34,1,20071031,22007,SAS,38,0.4370000000000001,12,0.522,16,0.727,7,35,23,9,17,0,MEM,0.5146310129999999
35,1,20071102,22007,LAL,48,0.565,8,0.615,15,0.75,11,43,24,21,20,0,PHX,0.595876289
36,1,20071102,22007,PHI,35,0.422,1,0.091,25,0.735,18,37,18,20,22,0,CHI,0.560549845
37,1,20071101,22007,SEA,41,0.414,5,0.385,12,0.8,11,39,24,18,17,1,PHX,0.465893426
38,1,20071102,22007,MIL,42,0.483,5,0.385,10,0.7140000000000001,14,30,20,19,32,0,CHA,0.485077951
39,1,20071102,22007,SAC,29,0.387,2,0.16699999999999998,20,0.769,6,29,15,14,17,0,SAS,0.409836066
40,1,20071102,22007,WAS,28,0.35,0,0.0,27,0.7709999999999999,14,31,11,20,23,0,BOS,0.393702137
41,1,20071102,22007,DAL,35,0.438,4,0.16699999999999998,20,0.8,7,31,14,10,25,0,ATL,0.464148763
42,1,20071102,22007,CHI,33,0.384,7,0.292,12,0.632,12,24,18,16,23,1,PHI,0.439450155
43,1,20071102,22007,NJN,25,0.368,6,0.3,13,0.722,8,26,19,19,22,1,TOR,0.29761830300000003
44,1,20071102,22007,CLE,38,0.469,12,0.545,22,0.71,13,26,18,13,22,1,NYK,0.51851217
45,1,20071102,22007,ORL,31,0.403,8,0.444,22,0.667,10,24,16,12,20,1,DET,0.3861313870000001
46,1,20071102,22007,IND,33,0.398,7,0.467,14,0.667,13,37,22,14,18,1,MIA,0.511626335
47,1,20071102,22007,DEN,34,0.466,3,0.214,28,0.737,9,40,21,19,17,0,MIN,0.542030749
48,1,20071102,22007,NOH,44,0.564,11,0.44,14,0.875,8,32,21,12,20,1,POR,0.596180783
